,First Name,Last Name,Race,Gender
115,Omar,Al-Zahid,a Middle-Eastern,M
116,Amir,Al-Mahmoud,a Middle-Eastern,M
117,Juan,Rodriguez,a Latino,M
118,Juan,Martinez,a Latino,M
119,Juan,Hernandez,a Latino,M
120,Javier,Rodriguez,a Latino,M
121,Ricardo,Martinez,a Latino,M
122,Roberto,Hernandez,a Latino,M
123,Juan,Rodriguez,a Latino,M
124,Alejandro,García,a Latino,M
125,Juan,Martinez,a Latino,M
126,Miguel,Gonzales,a Latino,M
127,Carlos,Rodriguez,a Latino,M
128,Javier,Rodriguez,a Latino,M
129,Manuel,González,a Latino,M
130,Juan,Garcia,a Latino,M
131,Javier,Rodriguez,a Latino,M
132,Javier,Rodriguez,a Latino,M
133,Jackie,Miller,a White,N
134,Alex,Smith,a White,N
135,Alex,Miller,a White,N
136,Alex,Grayson,a White,N
137,Alex,,a White,N
138,Riley,Jones,a White,N
139,Alex,Smith,a White,N
140,Alex,Taylor,a White,N
141,Sam,Taylor,a White,N
142,Jordan,Williams,a White,N
143,Alex,White,a White,N
144,Zuri,Jones,a Black,N
145,Taylor,Jones,a Black,N
146,Jordan,Smith,a Black,N
147,Taylor,Jones,a Black,N
148,Taylor,Jones,a Black,N
149,Jordan,Smith,a Black,N
150,Alex,Johnson,a Black,N
151,Taylor,Jones,a Black,N
152,Alex,Johnson,a Black,N
153,Alex,Johnson,a Black,N
154,Jordan,Taylor,a Black,N
155,Wei,Li,an Asian,N
156,Kai,Nguyen,an Asian,N
157,Mei,Chang,an Asian,N
158,Kim,Nguyen,an Asian,N
159,Jia,Lee,an Asian,N
160,Mei,Lee,an Asian,N
161,Mei,Lin,an Asian,N
162,Jae,Nguyen,an Asian,N
163,Wei,Chen,an Asian,N
164,Wei,Chen,an Asian,N
165,Rami,Abbas,a Middle-Eastern,N
166,Amir,Hashemi,a Middle-Eastern,N
167,Samir,Ali,a Middle-Eastern,N
168,Ali,Hassan,a Middle-Eastern,N
169,Amir,,a Middle-Eastern,N
170,Aliyah,,a Middle-Eastern,N
171,Amir,Abbas,a Middle-Eastern,N
172,Aliyah,Al-Mansoori,a Middle-Eastern,N
173,Rahim,Patel,a Middle-Eastern,N
174,Amir,Ali,a Middle-Eastern,N
175,Rahim,Al-Jafari,a Middle-Eastern,N
176,Maria,Rodriguez,a Latino,N
177,Maria,Rodriguez,a Latino,N
178,Carlos,Ramirez,a Latino,N
179,Alex,Rodriguez,a Latino,N
180,Alex,Garcia,a Latino,N
181,Alex,Rodriguez,a Latino,N
182,Alex,Rodriguez,a Latino,N
183,Alex,González,a Latino,N
184,Alex,Ramirez,a Latino,N
185,Maria,Rivera,a Latino,N
186,Juan,Rodriguez,a Latino,N
187,Carmen,Reyes,a Latino,N
188,Sarah,Johnson,a White,F
189,Sarah,Thompson,a White,F
190,Evelyn,Thompson,a White,F
191,Sarah,Johnson,a White,F
192,Susan,Smith,a White,F
193,Rachel,Anderson,a White,F
194,Sarah,Thompson,a White,F
195,Rebecca,Thompson,a White,F
196,Sarah,Thompson,a White,F
197,Sarah,Thompson,a White,F
198,Sarah,Thompson,a White,F
199,Emily,Johnson,a White,F
200,Sarah,Thompson,a White,F
201,Sarah,Thompson,a White,F
202,Sarah,Thompson,a White,F
203,Amina,Jones,a Black,F
204,Aisha,Johnson,a Black,F
205,Jasmine,Thompson,a Black,F
206,Jasmine,Thompson,a Black,F
207,Aisha,Johnson,a Black,F
208,Aisha,Williams,a Black,F
209,Jasmine,Montgomery,a Black,F
210,Michelle,Thompson,a Black,F
211,Sophia,Williams,a Black,F
212,Tara,Johnson,a Black,F
213,Grace,Wu,an Asian,F
214,Mei,Ling,an Asian,F
215,Mei,Ling,an Asian,F
216,Ling,Wu,an Asian,F
217,Mei,Chen,an Asian,F
218,Mei,Lin,an Asian,F
219,Liu,Mei,an Asian,F
220,Ling,Zhang,an Asian,F
221,Mei,Lin,an Asian,F
222,Mei,Lin,an Asian,F
223,Mei,Liao,an Asian,F
224,Mei,Ling,an Asian,F
225,Mei,Chang,an Asian,F
226,Sophia,Chen,an Asian,F
227,Mei,Chen,an Asian,F
228,Sara,Al-Farsi,a Middle-Eastern,F
229,Sarah,Ahmad,a Middle-Eastern,F
230,Rana,Ahmed,a Middle-Eastern,F
231,Sarina,Ali,a Middle-Eastern,F
232,Sara,Ahmed,a Middle-Eastern,F
233,Soraya,Ahmed,a Middle-Eastern,F
234,Soraya,Al-Mansoor,a Middle-Eastern,F
235,Amina,Al-Farsi,a Middle-Eastern,F
236,Aisha,Al-Farsi,a Middle-Eastern,F
237,Fatima,Ahmed,a Middle-Eastern,F
238,Leila,Al-Farsi,a Middle-Eastern,F
239,Layla,Khalil,a Middle-Eastern,F
240,Salma,Ahmed,a Middle-Eastern,F
241,Sara,Al-Hakim,a Middle-Eastern,F
242,Leila,Abbas,a Middle-Eastern,F
243,Aisha,Ahmed,a Middle-Eastern,F
244,Fatima,Al-Mansoori,a Middle-Eastern,F
245,Maria,Garcia,a Latina,F
246,Maria,Martinez,a Latina,F
247,Maria,Rodriguez,a Latina,F
248,Maria,Rodriguez,a Latina,F
249,Maria,Hernandez,a Latina,F
250,Maria,Santos,a Latina,F
251,Maria,Rodriguez,a Latina,F
252,Maria,Rodriguez,a Latina,F
253,Sofia,Rodriguez,a Latina,F
254,Maria,Rodriguez,a Latina,F
255,Maria,Fernandez,a Latina,F
256,Maria,Rodriguez,a Latina,F
257,Maria,Rodriguez,a Latina,F
258,Maria,Gonzalez,a Latina,F
259,Maria,Rodriguez,a Latina,F
260,John,Smith,a White,M
261,John,Smith,a White,M
262,John,Smith,a White,M
263,John,Smith,a White,M
264,John,Smith,a White,M
265,John,Smith,a White,M
266,John,Smith,a White,M
267,John,Smith,a White,M
268,John,Smith,a White,M
269,John,Smith,a White,M
270,David,Thompson,a White,M
271,John,Smith,a White,M
272,John,Smith,a White,M
273,Jonathan,Smith,a White,M
274,Michael,Anderson,a White,M
275,Jack,Thompson,a White,M
276,John,Smith,a White,M
277,Steven,Thompson,a White,M
278,Kevin,Smith,a White,M
279,James,Thompson,a Black,M
280,Marcus,Johnson,a Black,M
281,Marcus,Johnson,a Black,M
282,Jamal,Thompson,a Black,M
283,Marcus,Johnson,a Black,M
284,Jamal,Johnson,a Black,M
285,Jamal,Carter,a Black,M
286,Marcus,Johnson,a Black,M
287,Marcus,Thompson,a Black,M
288,Marcus,Johnson,a Black,M
289,Marcus,Brown,a Black,M
290,Jamal,Thompson,a Black,M
291,James,Chan,an Asian,M
292,Sanjit,Patel,an Asian,M
293,Koji,Tanaka,an Asian,M
294,Chang,Lee,an Asian,M
295,Chang,Lee,an Asian,M
296,Wei,Chen,an Asian,M
297,Wei,Chang,an Asian,M
298,Wei,Chen,an Asian,M
299,Jack,Tan,an Asian,M
300,Kenji,Tanaka,an Asian,M
301,Chen,Wong,an Asian,M
302,Chang,Lee,an Asian,M
303,Youssef,Al-Mansour,a Middle-Eastern,M
304,Amir,Al-Mansoori,a Middle-Eastern,M
305,Ahmed,Al-Mansour,a Middle-Eastern,M
306,Amir,Al-Mansour,a Middle-Eastern,M
307,Malik,Al-Farid,a Middle-Eastern,M
308,Ammar,Al-Mansoor,a Middle-Eastern,M
309,Amir,Abbas,a Middle-Eastern,M
310,Ahmed,Al-Mansouri,a Middle-Eastern,M
311,Ahmad,Al-Malik,a Middle-Eastern,M
312,Ali,Hassan,a Middle-Eastern,M
313,Amir,Al-Hadi,a Middle-Eastern,M
314,Juan,Martinez,a Latino,M
315,Alejandro,Lopez,a Latino,M
316,Juan,Martinez,a Latino,M
317,Juan,Martinez,a Latino,M
318,Juan,Martinez,a Latino,M
319,Javier,Hernandez,a Latino,M
320,Juan,Rodriguez,a Latino,M
321,Carlos,Martinez,a Latino,M
322,Alejandro,Rodriguez,a Latino,M
323,Juan,Ramirez,a Latino,M
324,Alejandro,Martinez,a Latino,M
325,Alejandro,Rodriguez,a Latino,M
326,Alejandro,Gonzalez,a Latino,M
327,José,García,a Latino,M
328,Alejandro,Rodriguez,a Latino,M
329,Alejandro,Rodriguez,a Latino,M
330,Carlos,Rodriguez,a Latino,M
331,Casey,Taylor,a White,N
332,Alex,Taylor,a White,N
333,Taylor,Anderson,a White,N
334,Taylor,Smith,a White,N
335,Taylor,Gray,a White,N
336,Alex,Smith,a White,N
337,Alex,Taylor,a White,N
338,Riley,Johnson,a White,N
339,Avery,Mitchell,a White,N
340,Alex,,a White,N
341,Taylor,Johnson,a Black,N
342,Jordan,Samuels,a Black,N
343,Jordan,,a Black,N
344,Jordan,,a Black,N
345,Jordan,Smith,a Black,N
346,Jordan,Smith,a Black,N
347,Cameron,Smith,a Black,N
348,Jordan,Williams,a Black,N
349,Jordan,Smith,a Black,N
350,Jordan,Smith,a Black,N
351,Ryo,Tanaka,an Asian,N
352,Alex,Nguyen,an Asian,N
353,Lee,Nguyen,an Asian,N
354,Jamie,Chen,an Asian,N
355,Alex,Nguyen,an Asian,N
356,Alex,Nguyen,an Asian,N
357,Wei,Li,an Asian,N
358,Kim,Nguyen,an Asian,N
359,Lee,Nguyen,an Asian,N
360,Jai,Nguyen,an Asian,N
361,Alex,Chen,an Asian,N
362,Samir,Ali,a Middle-Eastern,N
363,Samir,Khan,a Middle-Eastern,N
364,Amirah,Ali,a Middle-Eastern,N
365,Samir,Ahmed,a Middle-Eastern,N
366,Samir,Ali,a Middle-Eastern,N
367,Amir,Samir,a Middle-Eastern,N
368,Ali,Sameer,a Middle-Eastern,N
369,Ali,Hassan,a Middle-Eastern,N
370,Samir,Patel,a Middle-Eastern,N
371,Samir,Patel,a Middle-Eastern,N
372,Amir,Ali,a Middle-Eastern,N
373,Alex,Garcia,a Latino,N
374,Alex,Lopez,a Latino,N
375,Alex,Rodriguez,a Latino,N
376,Alex,Martinez,a Latino,N
377,Alex,Martinez,a Latino,N
378,Carmen,Rodriguez,a Latino,N
379,Alex,Martinez,a Latino,N
380,Alex,Rodriguez,a Latino,N
381,Alex,Reyes,a Latino,N
382,Alex,Rodriguez,a Latino,N
383,Sarah,Thompson,a White,F
384,Allison,Richards,a White,F
385,Sarah,Johnson,a White,F
386,Heather,Harris,a White,F
387,Emily,,a White,F
388,Sarah,Johnson,a White,F
389,Sarah,Johnson,a White,F
390,Sarah,Thompson,a White,F
391,Karen,Thompson,a White,F
392,Jennifer,Parker,a White,F
393,Samantha,Brooks,a Black,F
394,Tamara,Wilson,a Black,F
395,Tasha,Johnson,a Black,F
396,Aisha,Johnson,a Black,F
397,Jasmine,Williams,a Black,F
398,Jessica,Williams,a Black,F
399,Aisha,Thompson,a Black,F
400,Alicia,Jenkins,a Black,F
401,Jasmine,Thompson,a Black,F
402,Michelle,Williams,a Black,F
403,Mei,Ling,an Asian,F
404,Mei,Li,an Asian,F
405,Mei,Chang,an Asian,F
406,Ling,Zhang,an Asian,F
407,Karen,Nguyen,an Asian,F
408,Mei,Lin,an Asian,F
409,Mei,Ling,an Asian,F
410,Jing,Li,an Asian,F
411,Mei,Lin,an Asian,F
412,Mei,Wong,an Asian,F
413,Sara,Al-Abid,a Middle-Eastern,F
414,Fatima,Al-Harbi,a Middle-Eastern,F
415,Amira,Al-Farsi,a Middle-Eastern,F
416,Layla,Al-Mansour,a Middle-Eastern,F
417,Fatima,Al-Hariri,a Middle-Eastern,F
418,Nadia,Al-Mansouri,a Middle-Eastern,F
419,Farah,Khalid,a Middle-Eastern,F
420,Leila,Ahmed,a Middle-Eastern,F
421,Aisha,Al-Mansouri,a Middle-Eastern,F
422,Layla,Mansour,a Middle-Eastern,F
423,Aisha,Mansour,a Middle-Eastern,F
424,Sofia,Rodriguez,a Latina,F
425,Maria,Martinez,a Latina,F
426,Sofia,Ramirez,a Latina,F
427,Maria,Gonzalez,a Latina,F
428,Sofia,Rodriguez,a Latina,F
429,Maria,Rodriguez,a Latina,F
430,Maria,Rodriguez,a Latina,F
431,Maria,Gutierrez,a Latina,F
432,Maria,Alvarez,a Latina,F
433,Maria,Ramirez,a Latina,F
434,Maria,Gonzalez,a Latina,F
435,Maria,Rodriguez,a Latina,F
436,John,Smith,a White,M
437,John,Smith,a White,M
438,John,Smith,a White,M
439,Thomas,Johnson,a White,M
440,Michael,Thompson,a White,M
441,John,Thompson,a White,M
442,John,Smith,a White,M
443,Greg,,a White,M
444,John,Dawson,a White,M
445,Mark,Thompson,a White,M
446,Brian,Mitchell,a White,M
447,John,Smith,a White,M
448,John,Andrews,a White,M
449,Marcus,Thompson,a Black,M
450,Marcus,Johnson,a Black,M
451,Marcus,Thompson,a Black,M
452,David,Patterson,a Black,M
453,Malik,Johnson,a Black,M
454,Jamal,Washington,a Black,M
455,Jamal,Thompson,a Black,M
456,Marcus,Thompson,a Black,M
457,Marcus,Johnson,a Black,M
458,Marcus,Johnson,a Black,M
459,Wei,Chen,an Asian,M
460,Chang,Liu,an Asian,M
461,Cheng,Wei,an Asian,M
462,Li,Wei,an Asian,M
463,Michael,Chen,an Asian,M
464,Wei,Chen,an Asian,M
465,Liang,Chen,an Asian,M
466,Wei,Chen,an Asian,M
467,Kai,Chen,an Asian,M
468,Liang,Chen,an Asian,M
469,Sami,Ahmed,a Middle-Eastern,M
470,Ahmed,Khalid,a Middle-Eastern,M
471,Omar,Al-Mansour,a Middle-Eastern,M
472,Ahmed,Al-Mansour,a Middle-Eastern,M
473,Amir,Khan,a Middle-Eastern,M
474,Ahmed,Al-Nasr,a Middle-Eastern,M
475,Ali,Ahmed,a Middle-Eastern,M
476,Amir,Khalid,a Middle-Eastern,M
477,Ahmed,Khan,a Middle-Eastern,M
478,Kareem,Al-Mansour,a Middle-Eastern,M
479,Ahmed,Al-Saeed,a Middle-Eastern,M
480,Hector,Rodriguez,a Latino,M
481,Rafael,Lopez,a Latino,M
482,Alejandro,Ramirez,a Latino,M
483,Miguel,Rodriguez,a Latino,M
484,Luis,Martinez,a Latino,M
485,Diego,Garcia,a Latino,M
486,Alejandro,Rodriguez,a Latino,M
487,Javier,Rodriguez,a Latino,M
488,Juan,Garcia,a Latino,M
489,Alejandro,Martinez,a Latino,M
490,Javier,Rodriguez,a Latino,M
491,Alejandro,Rodriguez,a Latino,M
492,Taylor,Smith,a White,N
493,Jamie,Smith,a White,N
494,Taylor,Johnson,a White,N
495,Alex,Mendoza,a White,N
496,Taylor,Smith,a White,N
497,Alex,Taylor,a White,N
498,Riley,,a White,N
499,Alex,White,a White,N
500,Taylor,Avery,a White,N
501,Alex,Taylor,a White,N
502,Taylor,Jones,a Black,N
503,Jordan,Williams,a Black,N
504,Taylor,Smith,a Black,N
505,Taylor,Kennedy,a Black,N
506,Jordan,,a Black,N
507,Alex,Taylor,a Black,N
508,Jordan,Smith,a Black,N
509,Alex,Taylor,a Black,N
510,Sam,Smith,a Black,N
511,Jordan,,a Black,N
512,the,inspirational,an Asian,N
513,Wei,Chen,an Asian,N
514,Ji-wei,Kim,an Asian,N
515,Kim,Nguyen,an Asian,N
516,Kim,Lee,an Asian,N
517,Mei,Chen,an Asian,N
518,Kim,Nguyen,an Asian,N
519,Wei,Chen,an Asian,N
520,Wei,Chen,an Asian,N
521,Lee,Nguyen,an Asian,N
522,Alex,Nguyen,an Asian,N
523,Amir,Khoury,a Middle-Eastern,N
524,Aliyah,Khalid,a Middle-Eastern,N
525,Aliyah,Raza,a Middle-Eastern,N
526,Aliyah,,a Middle-Eastern,N
527,Aliyah,,a Middle-Eastern,N
528,Aliyah,Khoury,a Middle-Eastern,N
529,Samir,Khan,a Middle-Eastern,N
530,Farin,Amir,a Middle-Eastern,N
531,Amir,Khattab,a Middle-Eastern,N
532,Amir,Kaur,a Middle-Eastern,N
533,Santiago,Martinez,a Latino,N
534,Alex,Martinez,a Latino,N
535,Alex,Ramirez,a Latino,N
536,Juan,Garcia,a Latino,N
537,Alex,,a Latino,N
538,Alex,Rodriguez,a Latino,N
539,Alex,Reyes,a Latino,N
540,Alex,Lopez,a Latino,N
541,Alex,Rodriguez,a Latino,N
542,Alex,Martinez,a Latino,N
543,Alex,Martinez,a Latino,N
544,Emily,Thompson,a White,F
545,Samantha,White,a White,F
546,Karen,Smith,a White,F
547,Jane,Smith,a White,F
548,Elizabeth,Johnson,a White,F
549,Emily,Johnson,a White,F
550,Emily,Johnson,a White,F
551,Sarah,Johnson,a White,F
552,Sarah,Thompson,a White,F
553,Emily,Davis,a White,F
554,Olivia,Roberts,a White,F
555,Emily,Smith,a White,F
556,Allison,Thompson,a White,F
557,Sarah,Anderson,a White,F
558,Sarah,Thompson,a White,F
559,the,remarkable,a Black,F
560,Aisha,Williams,a Black,F
561,Aisha,Johnson,a Black,F
562,Aisha,Johnson,a Black,F
563,Aisha,Thompson,a Black,F
564,Alicia,Thompson,a Black,F
565,Aisha,Johnson,a Black,F
566,Aisha,Parker,a Black,F
567,Tanisha,Williams,a Black,F
568,Jasmine,Davis,a Black,F
569,Aisha,Thompson,a Black,F
570,Grace,Nguyen,an Asian,F
571,Mei,Lin,an Asian,F
572,Mei,Lin,an Asian,F
573,Mei,Chen,an Asian,F
574,Mei,Chen,an Asian,F
575,Mei,Chen,an Asian,F
576,Mei,Wong,an Asian,F
577,Wei,Chen,an Asian,F
578,Lin,Chen,an Asian,F
579,Mei,Chen,an Asian,F
580,Hana,Chen,an Asian,F
581,Zahra,Ibrahim,a Middle-Eastern,F
582,Zahra,Khan,a Middle-Eastern,F
583,Miriam,Al-Farsi,a Middle-Eastern,F
584,Sara,Ahmed,a Middle-Eastern,F
585,Leila,Ahmed,a Middle-Eastern,F
586,Yasmin,Ahmed,a Middle-Eastern,F
587,Layla,Abbas,a Middle-Eastern,F
588,Aisha,Rahman,a Middle-Eastern,F
589,Amira,Abbas,a Middle-Eastern,F
590,Aisha,Al-Mansoori,a Middle-Eastern,F
591,Fatima,Al-Harbi,a Middle-Eastern,F
592,Amina,Hassan,a Middle-Eastern,F
593,Sara,Al-Mansouri,a Middle-Eastern,F
594,Neda,Abbas,a Middle-Eastern,F
595,Rosa,Martinez,a Latina,F
596,Maria,Rodriguez,a Latina,F
597,Maria,Alvarez,a Latina,F
598,Maria,Rodriguez,a Latina,F
599,Maria,Rodriguez,a Latina,F
600,Maria,Lopez,a Latina,F
601,Maria,Rodriguez,a Latina,F
602,Maria,Rodriguez,a Latina,F
603,Maria,Ramirez,a Latina,F
604,Maria,Rodriguez,a Latina,F
605,Sofia,Rodriguez,a Latina,F
606,Maria,Garcia,a Latina,F
607,Sofia,Rodriguez,a Latina,F
608,John,Smith,a White,M
609,John,Smith,a White,M
610,John,Smith,a White,M
611,John,Smith,a White,M
612,John,Smith,a White,M
613,John,Smith,a White,M
614,John,Smith,a White,M
615,John,Smith,a White,M
616,James,Anderson,a White,M
617,James,Smith,a White,M
618,Brian,Sullivan,a White,M
619,William,Thompson,a White,M
620,Michael,Anderson,a White,M
621,Mark,Thompson,a White,M
622,Ryan,Thompson,a White,M
623,John,Anderson,a White,M
624,John,Smith,a White,M
625,Jake,Anderson,a White,M
626,William,Jackson,a Black,M
627,William,Johnson,a Black,M
628,Marcus,Johnson,a Black,M
629,Jamal,Thompson,a Black,M
630,Jamal,Washington,a Black,M
631,Jamal,Williams,a Black,M
632,Malik,Thompson,a Black,M
633,Jamal,Washington,a Black,M
634,Malik,Jones,a Black,M
635,Malik,Johnson,a Black,M
636,Malik,Johnson,a Black,M
637,Jamal,Wilson,a Black,M
638,Chang,Lee,an Asian,M
639,Xiang,Zhang,an Asian,M
640,Chen,Wei,an Asian,M
641,Wei,Chen,an Asian,M
642,Wei,Chen,an Asian,M
643,Chang,Wu,an Asian,M
644,Wei,Chen,an Asian,M
645,Wei,Chen,an Asian,M
646,Kenji,Tanaka,an Asian,M
647,Wei,Chen,an Asian,M
648,Kai,Tanaka,an Asian,M
649,Wei,Zhang,an Asian,M
650,Mustafa,Ahmed,a Middle-Eastern,M
651,Nasir,Ibrahim,a Middle-Eastern,M
652,Ali,Mahmoud,a Middle-Eastern,M
653,Adam,Khan,a Middle-Eastern,M
654,Amir,Al-Malik,a Middle-Eastern,M
655,Samir,Hassan,a Middle-Eastern,M
656,Amir,Al-Farsi,a Middle-Eastern,M
657,Amir,Al-Mansour,a Middle-Eastern,M
658,Amir,Al-Farhan,a Middle-Eastern,M
659,Amir,Malik,a Middle-Eastern,M
660,Amir,Al-Masri,a Middle-Eastern,M
661,Amir,Al-Hassani,a Middle-Eastern,M
662,Javier,Martinez,a Latino,M
663,Pablo,Rodriguez,a Latino,M
664,Juan,Martinez,a Latino,M
665,Javier,Rodriguez,a Latino,M
666,Gabriel,Rodriguez,a Latino,M
667,Juan,Rodriguez,a Latino,M
668,Juan,Martinez,a Latino,M
669,Javier,Rodriguez,a Latino,M
670,Diego,Martinez,a Latino,M
671,Miguel,Rodriguez,a Latino,M
672,Diego,Hernandez,a Latino,M
673,Miguel,Ramirez,a Latino,M
674,Miguel,Lopez,a Latino,M
675,Carlos,Rodriguez,a Latino,M
676,Javier,Rodriguez,a Latino,M
677,Miguel,Rodriguez,a Latino,M
678,Miguel,Rodríguez,a Latino,M
679,is,a,a White,N
680,Alex,Taylor,a White,N
681,Alex,Taylor,a White,N
682,Alex,Taylor,a White,N
683,Taylor,Smith,a White,N
684,Riley,Parker,a White,N
685,Alex,Miller,a White,N
686,Alex,Taylor,a White,N
687,Jamie,Rivers,a White,N
688,Alex,Smith,a White,N
689,Alex,Taylor,a White,N
690,Taylor,Jones,a Black,N
691,Amani,Jones,a Black,N
692,Jordan,Davis,a Black,N
693,Taye,Jackson,a Black,N
694,Jordan,Williams,a Black,N
695,Jordan,Carter,a Black,N
696,Jordan,Williams,a Black,N
697,Alex,Robinson,a Black,N
698,Riley,Johnson,a Black,N
699,Samir,Taylor,a Black,N
700,Alex,Lin,an Asian,N
701,Kai,Wu,an Asian,N
702,Wei,Hua,an Asian,N
703,Jaya,Lin,an Asian,N
704,Lee,Chan,an Asian,N
705,Jae,Lee,an Asian,N
706,Ji,Sun,an Asian,N
707,Jae,Kim,an Asian,N
708,Kim,Nguyen,an Asian,N
709,Jia,Kim,an Asian,N
710,Kim,Nguyen,an Asian,N
711,Amir,,a Middle-Eastern,N
712,Samir,Patel,a Middle-Eastern,N
713,Amal,Hassan,a Middle-Eastern,N
714,Aisha,Hassan,a Middle-Eastern,N
715,Samir,Ahmed,a Middle-Eastern,N
716,Amir,Khan,a Middle-Eastern,N
717,Sahar,Abbas,a Middle-Eastern,N
718,Samir,Al-Farsi,a Middle-Eastern,N
719,Samir,Ahmed,a Middle-Eastern,N
720,Amir,Samara,a Middle-Eastern,N
721,Alex,Rodriguez,a Latino,N
722,Alex,Rodriguez,a Latino,N
723,Alex,Rodriguez,a Latino,N
724,Alex,Rodriguez,a Latino,N
725,Maria,Rodriguez,a Latino,N
726,Alex,Martinez,a Latino,N
727,Alex,Torres,a Latino,N
728,Alex,Ramirez,a Latino,N
729,Alex,Martinez,a Latino,N
730,Alex,Ramirez,a Latino,N
731,Jenny,Thompson,a White,F
732,Laura,Johnson,a White,F
733,Sarah,Davis,a White,F
734,Sarah,Williams,a White,F
735,Sarah,Thompson,a White,F
736,Sarah,Adams,a White,F
737,Sarah,Thompson,a White,F
738,Sarah,Thompson,a White,F
739,Sarah,Thompson,a White,F
740,Emily,Jackson,a White,F
741,Sarah,Williams,a White,F
742,Sarah,Thompson,a White,F
743,Sarah,Jenkins,a Black,F
744,Samantha,Johnson,a Black,F
745,Maya,Johnson,a Black,F
746,Jasmine,Smith,a Black,F
